platform_id,game_id,champion_id,queue,season,summoner_timestamp,role,lane,summoner_id
NA1,3602268654,142,900,13,2020-10-03 23:39:15.919,DUO_SUPPORT,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3602274534,142,900,13,2020-10-03 23:15:18.247,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3602189298,131,440,13,2020-10-03 22:38:30.969,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3601987279,131,420,13,2020-10-03 18:53:18.251,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3601982224,142,420,13,2020-10-03 18:13:22.495,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3601582029,131,420,13,2020-10-03 06:46:56.812,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3600787433,131,420,13,2020-10-02 21:09:23.243,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3600792507,131,420,13,2020-10-02 20:34:07.288,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3600443539,142,420,13,2020-10-02 16:28:50.094,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3600277534,142,420,13,2020-10-02 15:30:41.922,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3600263844,131,420,13,2020-10-02 14:50:15.063,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3599736060,142,420,13,2020-10-02 03:41:35.503,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3599450895,142,420,13,2020-10-02 00:02:57.524,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
